track_name,artist_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
"Hey Leroy, Your Mama's Calling You",Jimmy Castor,spotify:track:6DPdkuilLYzkZIGr53HsrG,0.714,0.765,0,-9.38,1,0.0406,0.41,0.508,0.119,0.961,105.796,audio_features,6DPdkuilLYzkZIGr53HsrG,https://api.spotify.com/v1/tracks/6DPdkuilLYzkZIGr53HsrG,https://api.spotify.com/v1/audio-analysis/6DPdkuilLYzkZIGr53HsrG,148440,4
"Bang, Bang",Jimmy Castor,spotify:track:6puSkh7Unbn3avNFvZMZz1,0.655,0.878,3,-9.544,1,0.0312,0.833,0.000402,0.0888,0.936,129.957,audio_features,6puSkh7Unbn3avNFvZMZz1,https://api.spotify.com/v1/tracks/6puSkh7Unbn3avNFvZMZz1,https://api.spotify.com/v1/audio-analysis/6puSkh7Unbn3avNFvZMZz1,188160,4
All I Ever Wanted,The Human League,spotify:track:33g1XVNgo3lbDLeRiRQ0TL,0.649,0.789,0,-9.466,1,0.0264,0.00441,1.55e-06,0.0859,0.931,129.549,audio_features,33g1XVNgo3lbDLeRiRQ0TL,https://api.spotify.com/v1/tracks/33g1XVNgo3lbDLeRiRQ0TL,https://api.spotify.com/v1/audio-analysis/33g1XVNgo3lbDLeRiRQ0TL,234333,4
Big Time Sensuality - The Fluke Minimix,Björk,spotify:track:4Q8b1l8daZE9ALzkd6kKzL,0.644,0.785,8,-8.642,1,0.0284,0.00032,0.116,0.0451,0.668,116.938,audio_features,4Q8b1l8daZE9ALzkd6kKzL,https://api.spotify.com/v1/tracks/4Q8b1l8daZE9ALzkd6kKzL,https://api.spotify.com/v1/audio-analysis/4Q8b1l8daZE9ALzkd6kKzL,293840,4
Big Time Sensuality - The Fluke Minimix,Fluke,spotify:track:4Q8b1l8daZE9ALzkd6kKzL,0.644,0.785,8,-8.642,1,0.0284,0.00032,0.116,0.0451,0.668,116.938,audio_features,4Q8b1l8daZE9ALzkd6kKzL,https://api.spotify.com/v1/tracks/4Q8b1l8daZE9ALzkd6kKzL,https://api.spotify.com/v1/audio-analysis/4Q8b1l8daZE9ALzkd6kKzL,293840,4
Fata Morgana - Original Mix,Der Dritte Raum,spotify:track:1yzgJNsnTGZacmsrcvZL4V,0.81,0.658,2,-9.676,1,0.0463,0.00348,0.922,0.0744,0.743,126.009,audio_features,1yzgJNsnTGZacmsrcvZL4V,https://api.spotify.com/v1/tracks/1yzgJNsnTGZacmsrcvZL4V,https://api.spotify.com/v1/audio-analysis/1yzgJNsnTGZacmsrcvZL4V,339524,4
Bad Reputation,Joan Jett & the Blackhearts,spotify:track:5M5ySjWYS4s6hi2pEvEwb5,0.385,0.975,6,-4.099,1,0.192,0.00197,0.0167,0.0602,0.821,204.397,audio_features,5M5ySjWYS4s6hi2pEvEwb5,https://api.spotify.com/v1/tracks/5M5ySjWYS4s6hi2pEvEwb5,https://api.spotify.com/v1/audio-analysis/5M5ySjWYS4s6hi2pEvEwb5,170841,4
My Window,The Residents,spotify:track:61t7MU96q1DWE8eXBsUGua,0.205,0.246,8,-16.175,1,0.0313,0.245,0.602,0.111,0.0343,97.059,audio_features,61t7MU96q1DWE8eXBsUGua,https://api.spotify.com/v1/tracks/61t7MU96q1DWE8eXBsUGua,https://api.spotify.com/v1/audio-analysis/61t7MU96q1DWE8eXBsUGua,320960,3
Winchester Cathedral,Jimmy Castor,spotify:track:5fPsQzd4GMMPt7qePOxnAX,0.756,0.803,2,-9.508,0,0.0956,0.427,0.0724,0.0824,0.878,136.568,audio_features,5fPsQzd4GMMPt7qePOxnAX,https://api.spotify.com/v1/tracks/5fPsQzd4GMMPt7qePOxnAX,https://api.spotify.com/v1/audio-analysis/5fPsQzd4GMMPt7qePOxnAX,163800,4
Donna,Rubblebucket,spotify:track:5UuVuVCEag2VYp8PdWB2eB,0.572,0.942,11,-3.66,0,0.0448,0.0028,0.0559,0.35,0.814,112.014,audio_features,5UuVuVCEag2VYp8PdWB2eB,https://api.spotify.com/v1/tracks/5UuVuVCEag2VYp8PdWB2eB,https://api.spotify.com/v1/audio-analysis/5UuVuVCEag2VYp8PdWB2eB,213813,4
Braided Hair,Speech,spotify:track:43ievcG8mUfVBVn5OJkTrC,0.712,0.68,1,-8.132,1,0.0966,0.135,0.0,0.629,0.527,99.074,audio_features,43ievcG8mUfVBVn5OJkTrC,https://api.spotify.com/v1/tracks/43ievcG8mUfVBVn5OJkTrC,https://api.spotify.com/v1/audio-analysis/43ievcG8mUfVBVn5OJkTrC,243373,4
